CODIGO MUNICIPIO;LATITUDE;LONGITUDE
250280;-6.34;-37.49
220198;-8.21;-42.82
250290;-6.37;-37.82
280070;-10.42;-36.46
150175;-5.69;-48.41
230250;-7.49;-38.98
290430;-13.1;-39.79
290440;-12.48;-43.96
150178;-4;-49.46
150180;-1.68;-50.47
520380;-15.24;-51.16
430265;-29.55;-51.59
350780;-20.99;-47.65
350790;-22.28;-48.12
290450;-11.99;-42.62
310900;-20.14;-44.2
290460;-14.2;-41.66
420287;-27.3;-50.86
420290;-27.09;-48.91
310910;-22.44;-46.35
310920;-17.87;-44.18
260270;-7.72;-35.32
290470;-14.95;-39.29
310925;-19.4;-42.26
260280;-8.62;-37.15
120013;-9.83;-67.95
150190;-1.51;-48.04
350800;-23.79;-48.59
350810;-21.06;-50.14
210220;-3.94;-42.92
520390;-18.14;-49.04
210230;-5.83;-43.83
520393;-16.18;-50.43
170380;-5.31;-48.22
220200;-3.17;-41.86
220202;-5.31;-41.09
210232;-4.34;-46.4
520396;-14.47;-46.4
290475;-10.7;-43.63
210235;-5.59;-47.01
110045;-10.21;-63.82
310930;-15.61;-46.42
350820;-20.19;-47.7
310940;-17.35;-44.96
430270;-30.12;-51.96
130083;-3.32;-61.2
250300;-7.51;-34.9
500240;-22.63;-54.82
290480;-14.97;-40.4
250310;-7.48;-36.28
290485;-12.53;-39.19
310945;-16.03;-47.09
520400;-15.8;-46.92
220205;-4.47;-42.3
250320;-6.98;-34.83
110003;-13.49;-60.54
260290;-8.28;-35.03
330070;-22.87;-42.01
310950;-21.47;-46.39
350830;-22.45;-49.33
350840;-23.3;-47.13
260300;-8.51;-39.3
420300;-26.77;-51.01
350850;-23.1;-45.7
430280;-30.51;-53.49
110060;-10.34;-62.89
430290;-29.88;-54.82
510250;-16.07;-57.67
290490;-12.61;-38.95
520410;-18.76;-50.94
310960;-19.52;-44.45
520420;-16.66;-50.64
310970;-22.35;-45.77
310270;-15.96;-41.49
150200;-1.01;-48.96
150195;-1.67;-46.52
430300;-30.03;-52.89
250330;-6.92;-38.67
520425;-18.49;-49.47
310980;-18.51;-49.5
210237;-2.92;-44.05
350860;-22.66;-45
330080;-22.46;-42.65
430310;-29.95;-51.09
170382;-6.12;-47.92
260310;-8.48;-36.23
320120;-20.84;-41.11
250340;-7.12;-37.15
250350;-6.64;-35.79
250355;-7.21;-37.05
270120;-9.39;-36.99
430320;-27.77;-51.65
110004;-11.43;-61.44
350870;-21.52;-46.64
520430;-18.55;-51.13
290500;-14.5;-42.22
290510;-11.09;-40.43
310990;-19.29;-44.41
290515;-14.33;-40.9
311000;-19.87;-43.66
260320;-8.77;-36.62
290520;-14.06;-42.47
290530;-11.69;-41.46
410340;-22.79;-51.71
410345;-24.61;-53.31
350880;-21.8;-49.61
410347;-23.9;-53.51
350890;-22.01;-51.23
